★入賞条件/参考ボーダー★
プラチナトロフィー上位10位,173.2以上
ゴールドトロフィー上位10％,127.4以上
シルバートロフィー上位30％,97.4以上
ブロンズトロフィー上位70％,37.7以上

1305位,高宮 まり プロ,挑戦中
1407位,赤木 クロ プロ,挑戦中

順位,名前,段位,麻雀ファイトガールエメラルドPT 最終更新：2023/06/03 20:30時点のランキング
485位,あかつき,雀星Lv.5,104.9
486位,アリス,九段,104.9
487位,モーホー,雀星Lv.5,104.9
488位,グリムトルテ,六段,104.8
489位,waraten,１級,104.8
490位,けーおん,５級,104.7
491位,あきつしま,五段,104.7
492位,ぜりぃ,初段,104.7
493位,じゃむじぃ,六段,104.5
494位,ウミネコ,２級,104.5
495位,くるしま,四段,104.5
496位,あおばや,３級,104.4
497位,ポット！！,五段,104.2
498位,つかたんょ♪★,６級,104.2
499位,ちょびとら,９級,104.2
500位,くぜ☆まずみ,雀星Lv.3,104.1
